Bestbuy_name,Bestbuy_sku,Bestbuy_price,Bestbuy_link
Dell Monitors E2216HV 21.5 in. Black Full HD Widescreen LED - Backlit LCD TN Monitor,11298102,129.99,https://www.bestbuy.ca/en-ca/product/11298102
"Dell U3223QE UltraSharp 31.5"" 16:9 4K Ultra HD USB-C Hub IPS LED LCD Monitor",17290467,1179.0,https://www.bestbuy.ca/en-ca/product/17290467
"Dell 24"" FHD LCD IPS 165Hz 1ms DisplayPort HDMI Flicker-Free Black Monitor (G2422HS)",16616539,329.99,https://www.bestbuy.ca/en-ca/product/16616539
Genuine DELL 38XNM 2GB nVIDIA Quadro MRGA17H 4000 PCIe2.0x16 DVI-I Auxilliary Dual Monitor 2-Display Full High w/Bracket GD...,15114847,99.0,https://www.bestbuy.ca/en-ca/product/15114847
"Dell S2721QS 27 Inch 4K UHD (3840 x 2160) IPS Ultra-Thin Bezel Monitor, AMD FreeSync (HDMI, DisplayPort), VESA Certified, Silver",16471438,375.0,https://www.bestbuy.ca/en-ca/product/16471438
"Dell 20” HD+ (1600 x 900) 250 nits, 60 Hz, 5ms, ComfortView, DisplayPort, VGA Monitor",17248891,134.99,https://www.bestbuy.ca/en-ca/product/17248891
"DELL S2721HN (Gaming) AMD FreeSync, 27"" FHD 1920x1080 75Hz,2X HDMI, IPS",17973320,119.0,https://www.bestbuy.ca/en-ca/product/17973320
Dell Memory Upgrade - 32GB - 2RX8 DDR4 SODIMM 3200MHz,16666135,304.99,https://www.bestbuy.ca/en-ca/product/16666135
Dell Memory Upgrade - 16GB - 2RX8 DDR4 SODIMM 3200MHz,16666134,220.0,https://www.bestbuy.ca/en-ca/product/16666134
Dell Memory Upgrade - 16GB - 1RX8 DDR4 SODIMM 3200MHz,16370911,194.97,https://www.bestbuy.ca/en-ca/product/16370911
DELL CONSUMER 21.5 1920X1080 LED 16.9 SE2216HV,12294001,189.99,https://www.bestbuy.ca/en-ca/product/12294001
Alienware 25 Gaming Monitor - AW2523HF,17146591,449.99,https://www.bestbuy.ca/en-ca/product/17146591
Alienware 27 Gaming Monitor - AW2724HF,17203559,399.99,https://www.bestbuy.ca/en-ca/product/17203559
Anttrades 5ft 3 Prong AC Power Cord for LCD TV Plasma DLP LED Monitor Screen: Vizio Samsung Toshiba Sony Panasonic Lg,14201134,10.0,https://www.bestbuy.ca/en-ca/product/14201134
"NIERBO Single Monitor Desk Mount, Adjustable Gas Spring Monitor Arm Support Max 32 Inch, 4.4-17.6lbs Screen, VESA Mount Bracket",16608505,189.99,https://www.bestbuy.ca/en-ca/product/16608505
"Single Monitor Wall Mount for 17-32 Inch Computer Screen, Wall Mounted Monitor Holder Support 4.4-17.6lbs Display, Gas Spring Monitor Arm, VESA Bracket for VESA",17969653,109.99,https://www.bestbuy.ca/en-ca/product/17969653
"Single Monitor Mount, Desk Mount for 13-32 inch Computer Screen, Adjustable Tall Monitor Arm with 25 inch Max Height, Holds 4.4-19.8 lbs, Full Motion VESA Mount, White",17943476,129.99,https://www.bestbuy.ca/en-ca/product/17943476
